iter	Passed	Remaining
0	82	82418
1	109	54429
2	134	44808
3	160	39918
4	185	36991
5	211	35055
6	237	33709
7	266	33041
8	294	32449
9	322	31934
10	351	31626
11	377	31078
12	404	30744
13	431	30414
14	458	30119
15	485	29856
16	513	29694
17	539	29444
18	565	29209
19	591	29000
20	618	28847
21	646	28724
22	673	28621
23	699	28454
24	724	28260
25	750	28121
26	777	28035
27	802	27868
28	828	27735
29	853	27592
30	880	27530
31	906	27434
32	933	27343
33	959	27260
34	985	27174
35	1011	27089
36	1036	26977
37	1061	26869
38	1085	26756
39	1115	26768
40	1141	26704
41	1166	26614
42	1191	26515
43	1217	26447
44	1244	26417
45	1270	26356
46	1295	26260
47	1323	26248
48	1348	26172
49	1377	26178
50	1401	26082
51	1436	26190
52	1464	26173
53	1490	26107
54	1518	26093
55	1545	26045
56	1571	26004
57	1597	25947
58	1625	25917
59	1653	25898
60	1680	25861
61	1706	25818
62	1733	25788
63	1760	25746
64	1787	25713
65	1812	25654
66	1839	25618
67	1866	25576
68	1891	25515
69	1917	25472
70	1943	25432
71	1970	25395
72	1995	25344
73	2022	25306
74	2047	25253
75	2075	25232
76	2102	25201
77	2130	25183
78	2156	25141
79	2182	25097
80	2208	25057
81	2234	25013
82	2259	24966
83	2285	24926
84	2313	24905
85	2340	24871
86	2365	24826
87	2393	24809
88	2421	24784
89	2446	24741
90	2471	24688
91	2498	24655
92	2523	24612
93	2549	24577
94	2576	24539
95	2604	24522
96	2629	24479
97	2657	24460
98	2684	24432
99	2710	24397
100	2736	24353
101	2763	24333
102	2789	24296
103	2814	24251
104	2843	24236
105	2870	24207
106	2896	24174
107	2922	24133
108	2950	24116
109	2977	24093
110	3005	24073
111	3031	24032
112	3056	23991
113	3081	23951
114	3106	23904
115	3134	23886
116	3159	23841
117	3183	23793
118	3209	23760
119	3238	23749
120	3263	23706
121	3289	23674
122	3315	23639
123	3340	23599
124	3365	23560
125	3392	23531
126	3416	23485
127	3442	23453
128	3467	23415
129	3496	23400
